incident_id,incident_name,discovery_date,contain_date,fire_year,state,county_fips,county_name,latitude,longitude,fire_size_acres,fire_size_class,cause,structures_destroyed,personnel_assigned
FIRE-2018-000024,California Fire 24,2018-07-30,2018-08-06,2018,CA,1003,California County 02,32.81166,-116.66657,25.8,C,Lightning,0,1
FIRE-2018-000025,California Fire 25,2018-08-29,2018-09-27,2018,CA,1003,California County 02,33.38206,-118.14256,14.4,C,Powerline,0,10
FIRE-2018-000026,California Fire 26,2018-08-23,2018-09-08,2018,CA,1003,California County 02,34.21186,-117.53812,0.7,B,Lightning,0,1
FIRE-2018-000027,California Fire 27,2018-07-05,2018-07-22,2018,CA,1003,California County 02,32.68568,-118.19727,23.8,C,Undetermined,0,1
FIRE-2018-000028,California Fire 28,2018-08-17,2018-09-18,2018,CA,1003,California County 02,34.81327,-117.42145,76.5,C,Lightning,0,1
FIRE-2018-000029,California Fire 29,2018-07-01,2018-08-08,2018,CA,1003,California County 02,34.21695,-117.72965,68.9,C,Human - Equipment,0,28
FIRE-2018-000030,California Fire 30,2018-10-01,2018-10-06,2018,CA,1003,California County 02,34.10812,-119.10069,95.3,C,Human - Campfire,0,1
FIRE-2018-000031,California Fire 31,2018-08-11,2018-09-07,2018,CA,1003,California County 02,33.27968,-116.913,45.1,C,Human - Campfire,0,7
FIRE-2018-000032,California Fire 32,2018-06-30,2018-07-09,2018,CA,1003,California County 02,34.6208,-118.56549,18.9,C,Human - Campfire,0,1
FIRE-2018-000033,California Fire 33,2018-07-26,2018-08-02,2018,CA,1003,California County 02,32.72972,-117.27636,30.7,C,Lightning,0,9
FIRE-2018-000034,California Fire 34,2018-09-16,2018-09-27,2018,CA,1004,California County 03,35.2894,-114.17519,105.7,D,Human - Equipment,0,3
FIRE-2018-000035,California Fire 35,2018-11-07,2018-11-14,2018,CA,1004,California County 03,34.6149,-115.23653,40.4,C,Undetermined,0,1
FIRE-2018-000036,California Fire 36,2018-08-25,2018-09-16,2018,CA,1004,California County 03,34.25187,-116.34403,15.9,C,Lightning,0,4
FIRE-2018-000037,California Fire 37,2018-07-13,2018-08-10,2018,CA,1004,California County 03,35.3669,-115.3426,93.6,C,Powerline,0,1
FIRE-2018-000038,California Fire 38,2018-09-21,2018-10-19,2018,CA,1004,California County 03,35.60269,-116.2816,8.8,B,Human - Debris Burning,0,2
FIRE-2018-000039,California Fire 39,2018-11-08,2018-12-14,2018,CA,1004,California County 03,32.97201,-114.81107,1.8,B,Lightning,0,15
FIRE-2018-000040,California Fire 40,2018-09-07,2018-09-21,2018,CA,1004,California County 03,35.02105,-114.26517,98.6,C,Human - Campfire,0,11
FIRE-2018-000041,California Fire 41,2018-07-16,2018-08-01,2018,CA,1004,California County 03,35.26992,-115.15531,182.2,D,Powerline,0,27
FIRE-2018-000042,California Fire 42,2018-07-26,2018-08-22,2018,CA,1004,California County 03,32.57849,-114.31128,66.7,C,Powerline,0,15
FIRE-2018-000043,California Fire 43,2018-06-01,2018-07-02,2018,CA,1004,California County 03,34.99335,-115.92464,5.7,B,Lightning,0,4
FIRE-2018-000044,California Fire 44,2018-06-19,2018-07-02,2018,CA,1004,California County 03,35.01859,-115.82387,12.9,C,Human - Equipment,0,1
FIRE-2018-000045,California Fire 45,2018-08-27,2018-10-01,2018,CA,1004,California County 03,33.61196,-114.59502,35.6,C,Lightning,0,21
FIRE-2018-000046,California Fire 46,2018-08-04,2018-08-25,2018,CA,1005,California County 10,35.78781,-121.91818,45.4,C,Human - Equipment,0,15
FIRE-2018-000047,California Fire 47,2018-09-02,2018-10-06,2018,CA,1005,California County 10,36.26858,-122.1388,2.3,B,Undetermined,0,1
FIRE-2018-000048,California Fire 48,2018-05-23,2018-07-05,2018,CA,1005,California County 10,37.79032,-122.55238,22.6,C,Undetermined,0,1
FIRE-2018-000049,California Fire 49,2018-06-17,2018-07-08,2018,CA,1005,California County 10,38.51681,-124.17286,35.4,C,Human - Equipment,0,1
FIRE-2018-000050,California Fire 50,2018-08-01,2018-09-10,2018,CA,1005,California County 10,38.64448,-123.39633,56.6,C,Human - Debris Burning,0,7
FIRE-2018-000051,California Fire 51,2018-05-22,2018-06-12,2018,CA,1005,California County 10,36.33225,-123.70233,77.0,C,Human - Equipment,0,14
FIRE-2018-000052,California Fire 52,2018-07-07,2018-07-13,2018,CA,1005,California County 10,38.52041,-123.25789,79.5,C,Lightning,0,6
FIRE-2018-000053,California Fire 53,2018-07-04,2018-07-17,2018,CA,1005,California County 10,38.68133,-124.25486,13.4,C,Lightning,0,1
FIRE-2018-000054,California Fire 54,2018-12-24,2019-01-30,2018,CA,1005,California County 10,38.10022,-122.89541,30.4,C,Lightning,0,9
FIRE-2018-000055,California Fire 55,2018-07-20,2018-07-27,2018,CA,1005,California County 10,37.74418,-123.85954,0.3,B,Human - Arson,0,1
FIRE-2018-000056,California Fire 56,2018-08-26,2018-09-03,2018,CA,1005,California County 10,37.13774,-122.67323,40.8,C,Human - Equipment,0,19
FIRE-2018-000057,California Fire 57,2018-09-01,2018-10-11,2018,CA,1005,California County 10,37.55227,-121.90678,149.8,D,Powerline,0,15
FIRE-2018-000058,California Fire 58,2018-07-06,2018-08-04,2018,CA,1005,California County 10,37.07873,-122.11951,8.7,B,Lightning,0,1
FIRE-2018-000059,California Fire 59,2018-08-15,2018-09-02,2018,CA,1006,California County 11,36.53623,-120.22979,4.0,B,Lightning,0,1
FIRE-2018-000060,California Fire 60,2018-08-25,2018-09-21,2018,CA,1006,California County 11,36.87961,-121.47907,8.3,B,Human - Equipment,0,1
FIRE-2018-000061,California Fire 61,2018-06-20,2018-08-04,2018,CA,1006,California County 11,36.99712,-121.33206,117.6,D,Lightning,0,15
FIRE-2018-000062,California Fire 62,2018-06-25,2018-07-22,2018,CA,1006,California County 11,38.65202,-120.62293,17.7,C,Human - Debris Burning,0,1
FIRE-2018-000063,California Fire 63,2018-05-11,2018-06-05,2018,CA,1006,California County 11,37.21273,-119.51825,15.9,C,Lightning,0,1
FIRE-2018-000064,California Fire 64,2018-06-24,2018-06-26,2018,CA,1006,California County 11,37.14674,-121.44176,6.8,B,Undetermined,0,1
FIRE-2018-000065,California Fire 65,2018-06-29,2018-07-16,2018,CA,1006,California County 11,37.02394,-121.65464,100.8,D,Human - Equipment,1,13
FIRE-2018-000066,California Fire 66,2018-08-12,2018-08-14,2018,CA,1006,California County 11,38.30109,-119.90097,14.5,C,Human - Arson,0,1
FIRE-2018-000067,California Fire 67,2018-12-03,2018-12-05,2018,CA,1006,California County 11,35.88396,-121.28642,157.7,D,Undetermined,4,8
FIRE-2018-000068,California Fire 68,2018-08-18,2018-09-01,2018,CA,1006,California County 11,36.06637,-121.475,55.4,C,Human - Equipment,0,2
FIRE-2018-000069,California Fire 69,2018-09-25,2018-10-06,2018,CA,1006,California County 11,38.71849,-120.28453,63.4,C,Undetermined,0,4
FIRE-2018-000070,California Fire 70,2018-08-16,2018-08-29,2018,CA,1006,California County 11,37.8116,-121.05611,158.7,D,Lightning,0,1
FIRE-2018-000071,California Fire 71,2018-10-16,2018-10-19,2018,CA,1006,California County 11,37.56797,-119.64298,6.5,B,Lightning,0,10
FIRE-2018-000072,California Fire 72,2018-06-26,2018-07-03,2018,CA,1006,California County 11,36.74723,-120.54685,94.7,C,Human - Equipment,0,8
FIRE-2018-000073,California Fire 73,2018-06-01,2018-07-13,2018,CA,1006,California County 11,36.15114,-120.66818,9.7,B,Lightning,0,16
FIRE-2018-000074,California Fire 74,2018-08-31,2018-09-16,2018,CA,1006,California County 11,37.04599,-120.60582,65.7,C,Powerline,0,1
FIRE-2018-000075,California Fire 75,2018-11-05,2018-11-07,2018,CA,1006,California County 11,37.13824,-121.23486,47.1,C,Human - Equipment,0,13
FIRE-2018-000076,California Fire 76,2018-09-29,2018-10-17,2018,CA,1007,California County 12,36.48478,-118.31858,16.4,C,Human - Debris Burning,0,1
FIRE-2018-000077,California Fire 77,2018-08-05,2018-09-05,2018,CA,1007,California County 12,36.95369,-118.61644,40.5,C,Human - Debris Burning,0,1
FIRE-2018-000078,California Fire 78,2018-08-14,2018-09-21,2018,CA,1007,California County 12,36.36839,-119.00573,58.8,C,Human - Equipment,0,1
FIRE-2018-000079,California Fire 79,2018-07-24,2018-08-13,2018,CA,1007,California County 12,37.40956,-116.63384,21.7,C,Lightning,0,5
FIRE-2018-000080,California Fire 80,2018-08-31,2018-09-14,2018,CA,1007,California County 12,37.36357,-118.93617,71.8,C,Human - Arson,0,1
FIRE-2018-000081,California Fire 81,2018-10-13,2018-11-01,2018,CA,1007,California County 12,37.5565,-117.25445,196.9,D,Lightning,1,11
FIRE-2018-000082,California Fire 82,2018-06-30,2018-08-01,2018,CA,1007,California County 12,37.41897,-116.69248,59.8,C,Lightning,0,1
FIRE-2018-000083,California Fire 83,2018-09-18,2018-10-19,2018,CA,1007,California County 12,36.74557,-117.99338,168.3,D,Lightning,1,19
FIRE-2018-000084,California Fire 84,2018-09-01,2018-09-21,2018,CA,1007,California County 12,37.84043,-117.73532,8.2,B,Lightning,0,1
FIRE-2018-000085,California Fire 85,2018-06-11,2018-07-01,2018,CA,1008,California County 13,38.12303,-115.00165,23.9,C,Powerline,0,7
FIRE-2018-000086,California Fire 86,2018-09-20,2018-10-04,2018,CA,1008,California County 13,37.59716,-114.9948,67.4,C,Human - Debris Burning,0,2
FIRE-2018-000087,California Fire 87,2018-08-07,2018-09-21,2018,CA,1008,California County 13,37.41464,-115.99535,8.5,B,Human - Debris Burning,0,4
FIRE-2018-000088,California Fire 88,2018-07-30,2018-08-16,2018,CA,1008,California County 13,37.89279,-114.76924,30.3,C,Powerline,0,8
FIRE-2018-000089,California Fire 89,2018-06-18,2018-07-06,2018,CA,1008,California County 13,37.01294,-114.17412,39.3,C,Powerline,0,1
FIRE-2018-000090,California Fire 90,2018-09-05,2018-09-13,2018,CA,1008,California County 13,38.03837,-115.81752,42.1,C,Human - Equipment,0,4
FIRE-2018-000091,California Fire 91,2018-07-23,2018-08-20,2018,CA,1008,California County 13,37.37661,-115.91035,28.8,C,Human - Arson,0,11
FIRE-2018-000092,California Fire 92,2018-07-30,2018-08-01,2018,CA,1008,California County 13,37.80194,-116.02407,98.5,C,Undetermined,0,3
FIRE-2018-000093,California Fire 93,2018-07-21,2018-08-08,2018,CA,1008,California County 13,38.06152,-116.51939,31.8,C,Lightning,0,1
FIRE-2018-000094,California Fire 94,2018-06-08,2018-07-21,2018,CA,1008,California County 13,35.9556,-115.33422,21.4,C,Lightning,0,1
FIRE-2018-000095,California Fire 95,2018-09-05,2018-09-08,2018,CA,1008,California County 13,37.76485,-115.32439,25.6,C,Human - Equipment,0,10
FIRE-2018-000096,California Fire 96,2018-07-22,2018-09-03,2018,CA,1008,California County 13,36.94655,-114.07827,36.1,C,Powerline,0,9
FIRE-2018-000097,California Fire 97,2018-07-23,2018-07-27,2018,CA,1008,California County 13,37.63834,-115.2641,34.5,C,Lightning,0,2
FIRE-2018-000098,California Fire 98,2018-04-21,2018-05-30,2018,CA,1008,California County 13,37.87779,-115.47495,6.5,B,Powerline,0,1
FIRE-2018-000099,California Fire 99,2018-07-29,2018-08-06,2018,CA,1008,California County 13,36.95864,-116.5891,12.7,C,Human - Equipment,0,1
FIRE-2018-000100,California Fire 100,2018-10-17,2018-11-17,2018,CA,1008,California County 13,37.93591,-115.31676,35.6,C,Undetermined,0,14
FIRE-2018-000101,California Fire 101,2018-08-11,2018-08-16,2018,CA,1008,California County 13,38.58592,-115.61809,35.5,C,Lightning,0,14
FIRE-2018-000102,California Fire 102,2018-06-19,2018-07-09,2018,CA,1009,California County 20,40.44117,-122.0476,85.9,C,Powerline,0,1
FIRE-2018-000103,California Fire 103,2018-07-04,2018-08-08,2018,CA,1009,California County 20,40.2474,-122.22869,33.1,C,Human - Equipment,0,20
FIRE-2018-000104,California Fire 104,2018-06-28,2018-07-25,2018,CA,1009,California County 20,39.58955,-121.92547,24.1,C,Lightning,0,1
FIRE-2018-000105,California Fire 105,2018-05-22,2018-06-01,2018,CA,1009,California County 20,40.05592,-122.37005,54.5,C,Human - Equipment,0,14
FIRE-2018-000106,California Fire 106,2018-08-22,2018-09-25,2018,CA,1009,California County 20,41.58738,-122.95078,103.6,D,Undetermined,3,5
FIRE-2018-000107,California Fire 107,2018-11-08,2018-12-04,2018,CA,1009,California County 20,41.30816,-124.30358,15.4,C,Human - Debris Burning,0,1
FIRE-2018-000108,California Fire 108,2018-10-06,2018-11-07,2018,CA,1009,California County 20,40.0367,-122.24423,19.0,C,Powerline,0,1
FIRE-2018-000109,California Fire 109,2018-08-27,2018-09-24,2018,CA,1009,California County 20,41.74961,-122.8432,298.1,D,Undetermined,1,15
FIRE-2018-000110,California Fire 110,2018-05-23,2018-06-13,2018,CA,1009,California County 20,39.36016,-124.23617,17.8,C,Powerline,0,1
FIRE-2018-000111,California Fire 111,2018-09-24,2018-10-05,2018,CA,1009,California County 20,40.51536,-124.11788,41.7,C,Lightning,0,1
FIRE-2018-000112,California Fire 112,2018-07-08,2018-08-18,2018,CA,1009,California County 20,40.40928,-122.70677,43.8,C,Lightning,0,2
FIRE-2018-000113,California Fire 113,2018-08-15,2018-09-13,2018,CA,1009,California County 20,41.68716,-122.38784,56.6,C,Undetermined,0,11
FIRE-2018-000114,California Fire 114,2018-08-05,2018-08-30,2018,CA,1009,California County 20,41.01933,-121.97467,30.5,C,Powerline,0,9
FIRE-2018-000115,California Fire 115,2018-07-13,2018-07-14,2018,CA,1010,California County 21,38.90281,-120.03939,88.6,C,Human - Debris Burning,0,10
FIRE-2018-000116,California Fire 116,2018-07-07,2018-07-26,2018,CA,1010,California County 21,40.75362,-121.74626,34.3,C,Human - Arson,0,1
FIRE-2018-000117,California Fire 117,2018-08-20,2018-10-02,2018,CA,1010,California County 21,39.43542,-121.30011,14.4,C,Human - Campfire,0,18
FIRE-2018-000118,California Fire 118,2018-08-23,2018-09-16,2018,CA,1010,California County 21,38.95817,-120.22792,77.7,C,Human - Arson,0,7
FIRE-2018-000119,California Fire 119,2018-09-13,2018-10-07,2018,CA,1010,California County 21,39.38953,-119.91286,7.1,B,Human - Debris Burning,0,4
FIRE-2018-000120,California Fire 120,2018-10-28,2018-11-19,2018,CA,1010,California County 21,41.44485,-121.20045,32.9,C,Powerline,0,1
FIRE-2018-000121,California Fire 121,2018-07-20,2018-08-15,2018,CA,1010,California County 21,39.54778,-119.89535,56.4,C,Undetermined,0,3
FIRE-2018-000122,California Fire 122,2018-08-25,2018-10-08,2018,CA,1010,California County 21,38.87741,-119.79946,38.5,C,Human - Arson,0,1
FIRE-2018-000123,California Fire 123,2018-08-05,2018-09-14,2018,CA,1010,California County 21,40.00967,-120.19881,56.2,C,Undetermined,0,12
FIRE-2018-000124,California Fire 124,2018-04-28,2018-05-18,2018,CA,1010,California County 21,39.03352,-121.29391,86.8,C,Human - Debris Burning,0,1
FIRE-2018-000125,California Fire 125,2018-08-20,2018-09-24,2018,CA,1010,California County 21,41.9871,-121.77732,6.2,B,Lightning,0,2
FIRE-2018-000126,California Fire 126,2018-05-29,2018-06-08,2018,CA,1010,California County 21,41.82892,-119.92426,27.2,C,Undetermined,0,5
FIRE-2018-000127,California Fire 127,2018-06-16,2018-06-30,2018,CA,1010,California County 21,41.807,-120.25891,16.4,C,Human - Equipment,0,1
FIRE-2018-000128,California Fire 128,2018-11-10,2018-12-03,2018,CA,1010,California County 21,41.00465,-121.61419,39.3,C,Lightning,0,1
FIRE-2018-000129,California Fire 129,2018-12-16,2019-01-26,2018,CA,1011,California County 22,41.44327,-116.75885,4.8,B,Human - Debris Burning,0,17
FIRE-2018-000130,California Fire 130,2018-08-20,2018-09-25,2018,CA,1011,California County 22,39.23209,-118.61063,41.6,C,Lightning,0,6
FIRE-2018-000131,California Fire 131,2018-11-15,2018-11-25,2018,CA,1011,California County 22,39.30059,-118.38753,50345.1,G,Undetermined,243,2512
FIRE-2018-000132,California Fire 132,2018-10-25,2018-10-27,2018,CA,1011,California County 22,39.96777,-118.90402,77.7,C,Lightning,0,16
FIRE-2018-000133,California Fire 133,2018-10-25,2018-11-27,2018,CA,1011,California County 22,41.19461,-117.86903,32.3,C,Human - Debris Burning,0,6
FIRE-2018-000134,California Fire 134,2018-07-06,2018-07-26,2018,CA,1011,California County 22,41.13627,-117.63534,119.7,D,Human - Equipment,1,9
FIRE-2018-000135,California Fire 135,2018-08-05,2018-09-03,2018,CA,1011,California County 22,40.10512,-117.99267,57.9,C,Lightning,0,14
FIRE-2018-000136,California Fire 136,2018-09-11,2018-10-02,2018,CA,1011,California County 22,39.70422,-119.07758,50.1,C,Human - Equipment,0,1
FIRE-2018-000137,California Fire 137,2018-07-15,2018-08-26,2018,CA,1011,California County 22,40.19563,-117.92293,78.8,C,Human - Campfire,0,5
FIRE-2018-000138,California Fire 138,2018-05-21,2018-06-20,2018,CA,1011,California County 22,40.26326,-118.68556,13.0,C,Human - Equipment,0,1
FIRE-2018-000139,California Fire 139,2018-07-25,2018-07-31,2018,CA,1012,California County 23,41.00827,-114.12182,32.1,C,Lightning,0,8
FIRE-2018-000140,California Fire 140,2018-10-15,2018-11-06,2018,CA,1012,California County 23,40.59517,-114.49411,44.2,C,Human - Campfire,0,11
FIRE-2018-000141,California Fire 141,2018-05-14,2018-06-02,2018,CA,1012,California County 23,40.17263,-114.15453,123.8,D,Human - Debris Burning,6,1
FIRE-2018-000142,California Fire 142,2018-09-30,2018-11-05,2018,CA,1012,California County 23,40.913,-116.06656,12.7,C,Human - Equipment,0,1
FIRE-2018-000143,California Fire 143,2018-06-04,2018-07-14,2018,CA,1012,California County 23,41.50966,-114.50604,183.5,D,Human - Campfire,0,4
FIRE-2018-000144,California Fire 144,2018-06-27,2018-07-20,2018,CA,1012,California County 23,39.69869,-116.549,71.9,C,Lightning,0,1
FIRE-2018-000145,California Fire 145,2018-09-22,2018-10-26,2018,CA,1012,California County 23,39.2826,-115.57294,50.1,C,Lightning,0,1
FIRE-2018-000146,California Fire 146,2018-06-30,2018-07-06,2018,CA,1012,California County 23,41.11839,-115.65361,75.0,C,Undetermined,0,8
FIRE-2018-000147,Oregon Fire 147,2018-10-17,2018-11-25,2018,OR,1013,Oregon County 00,42.11693,-124.40048,29.3,C,Human - Equipment,0,1
FIRE-2018-000148,Oregon Fire 148,2018-10-30,2018-12-01,2018,OR,1013,Oregon County 00,42.61621,-124.27236,16.7,C,Human - Equipment,0,1
FIRE-2018-000149,Oregon Fire 149,2018-09-10,2018-09-19,2018,OR,1013,Oregon County 00,42.07852,-122.53111,11.4,C,Human - Arson,0,1
FIRE-2018-000150,Oregon Fire 150,2018-09-02,2018-09-17,2018,OR,1013,Oregon County 00,42.61727,-123.50523,6.9,B,Human - Equipment,0,9
FIRE-2018-000151,Oregon Fire 151,2018-05-22,2018-06-12,2018,OR,1013,Oregon County 00,43.2352,-124.35585,1003.9,F,Human - Debris Burning,0,43
FIRE-2018-000152,Oregon Fire 152,2018-07-18,2018-09-01,2018,OR,1013,Oregon County 00,42.4655,-124.45829,80.8,C,Undetermined,0,6
FIRE-2018-000153,Oregon Fire 153,2018-10-30,2018-11-19,2018,OR,1013,Oregon County 00,42.84405,-124.01337,37.1,C,Human - Arson,0,12
FIRE-2018-000154,Oregon Fire 154,2018-08-24,2018-09-16,2018,OR,1013,Oregon County 00,42.90762,-124.34724,37.8,C,Human - Equipment,0,18
FIRE-2018-000155,Oregon Fire 155,2018-10-17,2018-10-27,2018,OR,1013,Oregon County 00,42.14735,-124.20462,14.8,C,Human - Arson,0,1
FIRE-2018-000156,Oregon Fire 156,2018-07-22,2018-08-20,2018,OR,1013,Oregon County 00,42.70823,-122.9543,70.2,C,Human - Campfire,0,1
FIRE-2018-000157,Oregon Fire 157,2018-09-30,2018-10-29,2018,OR,1013,Oregon County 00,42.46327,-122.52694,177.0,D,Lightning,0,1
FIRE-2018-000158,Oregon Fire 158,2018-08-24,2018-09-22,2018,OR,1013,Oregon County 00,42.08051,-123.95065,35.4,C,Lightning,0,1
FIRE-2018-000159,Oregon Fire 159,2018-09-08,2018-10-03,2018,OR,1013,Oregon County 00,43.40089,-123.21067,4.7,B,Human - Equipment,0,1
FIRE-2018-000160,Oregon Fire 160,2018-09-21,2018-10-01,2018,OR,1014,Oregon County 01,42.9343,-120.88037,19.4,C,Undetermined,0,1
FIRE-2018-000161,Oregon Fire 161,2018-05-14,2018-05-17,2018,OR,1014,Oregon County 01,43.40809,-120.82525,4.4,B,Lightning,0,5
FIRE-2018-000162,Oregon Fire 162,2018-06-20,2018-07-17,2018,OR,1014,Oregon County 01,42.22754,-121.4545,23.3,C,Human - Arson,0,5
FIRE-2018-000163,Oregon Fire 163,2018-08-01,2018-08-26,2018,OR,1014,Oregon County 01,42.47966,-121.23823,20.0,C,Lightning,0,1
FIRE-2018-000164,Oregon Fire 164,2018-07-27,2018-08-06,2018,OR,1014,Oregon County 01,43.2517,-120.68731,20.3,C,Undetermined,0,1
FIRE-2018-000165,Oregon Fire 165,2018-07-13,2018-08-18,2018,OR,1014,Oregon County 01,42.18483,-121.17573,61.7,C,Human - Equipment,0,16
FIRE-2018-000166,Oregon Fire 166,2018-09-01,2018-10-05,2018,OR,1014,Oregon County 01,43.18817,-121.15977,67.1,C,Lightning,0,1
FIRE-2018-000167,Oregon Fire 167,2018-06-17,2018-07-19,2018,OR,1015,Oregon County 02,42.44271,-120.46354,151.0,D,Lightning,3,7
FIRE-2018-000168,Oregon Fire 168,2018-07-15,2018-08-27,2018,OR,1015,Oregon County 02,42.77367,-119.48462,67.1,C,Lightning,0,20
FIRE-2018-000169,Oregon Fire 169,2018-08-11,2018-08-22,2018,OR,1015,Oregon County 02,42.23255,-119.74656,89.0,C,Human - Campfire,0,1
FIRE-2018-000170,Oregon Fire 170,2018-09-23,2018-10-22,2018,OR,1015,Oregon County 02,43.38974,-119.06083,47.2,C,Lightning,0,4
FIRE-2018-000171,Oregon Fire 171,2018-08-17,2018-09-23,2018,OR,1015,Oregon County 02,43.2957,-118.93126,10.8,C,Undetermined,0,26
FIRE-2018-000172,Oregon Fire 172,2018-06-30,2018-08-08,2018,OR,1015,Oregon County 02,42.75603,-119.73626,169.5,D,Lightning,1,8
FIRE-2018-000173,Oregon Fire 173,2018-10-19,2018-10-27,2018,OR,1015,Oregon County 02,42.79484,-118.75177,5.4,B,Lightning,0,1
FIRE-2018-000174,Oregon Fire 174,2018-09-01,2018-09-24,2018,OR,1016,Oregon County 03,43.35653,-117.62505,12.6,C,Undetermined,0,1
FIRE-2018-000175,Oregon Fire 175,2018-06-26,2018-07-17,2018,OR,1016,Oregon County 03,42.5535,-117.75208,4.3,B,Undetermined,0,5
FIRE-2018-000176,Oregon Fire 176,2018-09-16,2018-10-31,2018,OR,1016,Oregon County 03,42.19723,-116.91724,16.9,C,Powerline,0,1
FIRE-2018-000177,Oregon Fire 177,2018-08-12,2018-08-22,2018,OR,1016,Oregon County 03,43.2984,-117.2693,1.0,B,Human - Debris Burning,0,1
FIRE-2018-000178,Oregon Fire 178,2018-07-31,2018-08-27,2018,OR,1016,Oregon County 03,42.41295,-118.27763,17.9,C,Human - Debris Burning,0,1
FIRE-2018-000179,Oregon Fire 179,2018-07-27,2018-09-02,2018,OR,1016,Oregon County 03,42.71642,-116.82662,38.4,C,Lightning,0,1
FIRE-2018-000180,Oregon Fire 180,2018-09-19,2018-09-25,2018,OR,1017,Oregon County 10,43.77814,-123.27038,26.9,C,Human - Equipment,0,1
FIRE-2018-000181,Oregon Fire 181,2018-11-12,2018-12-13,2018,OR,1017,Oregon County 10,44.56052,-123.41184,35.4,C,Lightning,0,1
FIRE-2018-000182,Oregon Fire 182,2018-09-09,2018-10-22,2018,OR,1017,Oregon County 10,43.94517,-123.00537,3.5,B,Human - Debris Burning,0,2
FIRE-2018-000183,Oregon Fire 183,2018-05-20,2018-06-01,2018,OR,1017,Oregon County 10,43.49688,-123.83496,39.5,C,Powerline,0,1
FIRE-2018-000184,Oregon Fire 184,2018-04-02,2018-05-02,2018,OR,1017,Oregon County 10,43.6946,-123.54294,7.2,B,Lightning,0,5
FIRE-2018-000185,Oregon Fire 185,2018-11-01,2018-12-06,2018,OR,1017,Oregon County 10,43.88569,-122.72842,18.6,C,Human - Equipment,0,14
